Country Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Heavily indebted poor countries (HIPC),1.516E+11,1.62903E+11,1.55233E+11,1.67013E+11,1.90271E+11,2.19237E+11,2.49284E+11,2.96816E+11,3.559E+11,4.29551E+11,4.31709E+11,4.77009E+11,5.33467E+11,5.73628E+11,6.39262E+11,6.75762E+11,6.63496E+11,6.7987E+11,7.55221E+11,7.29218E+11
Croatia,23400480898,21669159308,23179799796,26815719603,34686547353,41594418574,45386757883,50454899071,60182977533,70288911413,62666161453,59807966533,62354235671,56494436183,58056951042,57642879510,49530656285,51596929180,55319620158,60971699315
Haiti,4153736347,3953846311,3596443005,3472191962,2960306121,3537720277,4310358096,4756204070,5885325590,6548530572,6584649419,6622541529,7516834160,7890647022,8485077205,8775444942,8724656126,7970649131,8409497402,9658721169
Hungary,49073380174,47218405892,53749989092,67608919144,85302003908,1.0396E+11,1.12981E+11,1.15577E+11,1.39966E+11,1.58136E+11,1.3076E+11,1.31136E+11,1.4111E+11,1.28154E+11,1.35409E+11,1.40559E+11,1.2453E+11,1.27507E+11,1.41511E+11,1.57883E+11
IBRD only,5.34149E+12,5.80481E+12,5.89025E+12,5.98328E+12,6.73609E+12,8.01496E+12,9.58537E+12,1.1368E+13,1.41311E+13,1.69632E+13,1.64612E+13,1.99914E+13,2.36183E+13,2.51073E+13,2.65357E+13,2.74041E+13,2.58698E+13,2.60217E+13,2.86502E+13,3.04732E+13
IDA & IBRD total,5.7614E+12,6.2631E+12,6.34462E+12,6.47238E+12,7.28624E+12,8.66154E+12,1.03378E+13,1.22879E+13,1.52112E+13,1.826E+13,1.77297E+13,2.14619E+13,2.52968E+13,2.69211E+13,2.85258E+13,2.95451E+13,2.79659E+13,2.80771E+13,3.08131E+13,3.2695E+13
IDA total,4.21584E+11,4.60241E+11,4.56092E+11,4.91469E+11,5.52856E+11,6.49756E+11,7.55907E+11,9.24571E+11,1.08489E+12,1.30261E+12,1.27442E+12,1.47465E+12,1.68091E+12,1.81771E+12,1.99701E+12,2.15191E+12,2.10843E+12,2.06607E+12,2.17139E+12,2.22947E+12
IDA blend,1.83402E+11,2.00555E+11,2.0133E+11,2.22642E+11,2.50053E+11,3.06065E+11,3.67264E+11,4.73936E+11,5.47458E+11,6.51562E+11,6.0866E+11,7.17963E+11,8.31778E+11,9.1579E+11,9.94368E+11,1.07901E+12,1.02497E+12,9.49706E+11,9.42371E+11,9.93778E+11
Indonesia,1.40001E+11,1.65021E+11,1.60447E+11,1.95661E+11,2.34772E+11,2.56837E+11,2.85869E+11,3.64571E+11,4.32217E+11,5.10229E+11,5.3958E+11,7.55094E+11,8.92969E+11,9.1787E+11,9.12524E+11,8.90815E+11,8.60854E+11,9.31877E+11,1.01542E+12,1.04217E+12
IDA only,2.36792E+11,2.58137E+11,2.53106E+11,2.66777E+11,3.00508E+11,3.40627E+11,3.84739E+11,4.45113E+11,5.31219E+11,6.44266E+11,6.61717E+11,7.50778E+11,8.41189E+11,8.91798E+11,9.92627E+11,1.06145E+12,1.07504E+12,1.11359E+12,1.23169E+12,1.2358E+12
Isle of Man,1567465657,1563667800,1659131244,1947332922,2328658228,2822358473,3032400000,3422651334,4466100440,5928601103,5487083658,5920177689,6566098382,6433357030,6754330155,7428280402,6792417112,6592627599,6770532819,
